SQUAD,CARGO,ÁREA,QTDE,Custo M H/H,Preço M/HH,TOTAL GRUPO
APP,ANALISTA QA SR,QUALIDADE,1,R$ 105.54,R$ 168.87,"R$ 28,369.89"
APP,ANALISTA DEVOPS SR,INFRAESTRUTURA,0.25,R$ 96.61,R$ 154.58,"R$ 6,492.47"
,TOTAIS,,8.25,,,"R$ 260,931.58"
BACKOFFICE,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 107.33,R$ 171.73,"R$ 28,849.89"
BACKOFFICE,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 107.33,R$ 171.73,"R$ 28,849.89"
BACKOFFICE,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
BACKOFFICE,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
BACKOFFICE,ENGENHEIRO SR WEB,PROG. WEB,1,R$ 141.26,R$ 226.01,"R$ 37,969.89"
BACKOFFICE,ANALISTA REQ PL,PRDUTO/NEGÓCIO,1,R$ 83.22,R$ 133.15,"R$ 22,369.89"
BACKOFFICE,ANALISTA QA SR,QUALIDADE,1,R$ 105.54,R$ 168.87,"R$ 28,369.89"
BACKOFFICE,ANALISTA DEVOPS SR,INFRAESTRUTURA,0.25,R$ 96.61,R$ 154.58,"R$ 6,492.47"
,TOTAIS,,7.25,,,"R$ 224,041.69"
